Week Ending,IB Vol,OB Vol,Tot Vol,ST Hr,OT Hr,DHL Hr,Temp Hr,Tot Hr
1/7/2018,208,261,469,1807.98,129.54,2779.84,0,2779.84
1/14/2018,279,292,571,2107.39,128.25,2650.27,0,2650.27
1/21/2018,285,258,543,1953.63,148.51,2698.56,0,2698.56
1/28/2018,287,270,557,2125.08,133.11,2625.85,0,2625.85
2/4/2018,302,305,607,2060.85,221.8,2677.37,0,2677.37
2/11/2018,267,312,579,2009.71,145.64,2541.85,0,2541.85
2/18/2018,309,272,581,1961.74,168.35,2483.89,0,2483.89
2/25/2018,283,280,563,1937.79,185.7,2475.27,0,2475.27
3/4/2018,296,252,548,1893.08,255.54,2530.62,0,2530.62
3/11/2018,255,277,532,2089.35,225.35,2619.2,0,2619.2
3/18/2018,287,259,546,1982.63,210.58,2637.53,0,2637.53
3/25/2018,287,215,502,2051.78,178.21,2618.99,0,2618.99
4/1/2018,281,218,499,1996.31,184.16,2535.72,0,2535.72
4/8/2018,272,212,484,1906.87,267.01,2608.52,0,2608.52
4/15/2018,265,249,514,2087.42,223.15,2617.12,0,2617.12
4/22/2018,300,240,540,2039.18,399.69,2848.24,0,2848.24
4/29/2018,298,256,554,2157.12,265.92,2699.88,0,2699.88
5/6/2018,266,249,515,2080,236.28,2636.53,0,2636.53
5/13/2018,287,247,534,2087.3,205.96,2622.45,0,2622.45
5/20/2018,286,240,526,2377.59,247.27,3002.26,0,3002.26
5/27/2018,282,206,488,2258.94,180.54,2950.1,0,2950.1
6/3/2018,278,225,503,2201.87,272.01,3118.53,274,3392.53
6/10/2018,266,260,526,2417.56,134.82,2736.07,247.75,2983.82
6/17/2018,254,237,491,2401,175.45,2744.42,267.5,3011.92
6/24/2018,268,245,513,2389.1,131.21,2741.55,259.62,3001.17
7/1/2018,285,244,529,2392.48,125.63,2669.02,250.44,2919.46
7/8/2018,272,194,466,2016.85,201.96,3050.29,284.17,3334.46
7/15/2018,254,253,507,2423.76,140.99,2725.68,243.15,2968.83
7/22/2018,292,252,544,2356.11,152.55,2658.37,168.1,2826.47
7/29/2018,286,297,583,2368.88,209.28,2604.11,169.38,2773.49
8/5/2018,295,316,611,2201.77,397.3,2785.71,84,2869.71
8/12/2018,252,395,647,2211.91,315.2,2722.26,84,2806.26
8/19/2018,280,327,607,2266.35,335.6,2693.08,99.8,2792.88
8/26/2018,332,283,615,2182.87,278.7,2647.12,84,2731.12
9/2/2018,253,270,523,2230.75,187.41,2528.15,141.6,2669.75
9/9/2018,289,252,541,1868.23,133.34,2748.97,126,2874.97
9/16/2018,265,242,507,2237.71,103.45,2378.41,124,2502.41
9/23/2018,300,241,541,2153.99,138,2438.65,133,2571.65
9/30/2018,287,285,572,2219.95,286.37,2650,125.92,2775.92
